Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,DataAnalyticsCourse,104.0,4498.0,$231.88,14.0,7.0,0.058,$1892,2024-11-16,hyderabad,desktop,learn data analytics
A1001,DataAnalyticsCourse,173.0,5107.0,$216.84,10.0,8.0,0.046,$1679,20-11-2024,hyderabad,mobile,data analytics course
A1002,Data Anlytics Corse,90.0,4544.0,$203.66,26.0,9.0,,$1624,2024/11/16,hyderabad,Desktop,data analitics online
A1003,Data Analytcis Course,142.0,3185.0,$237.66,17.0,6.0,,$1225,2024-11-26,HYDERABAD,tablet,data anaytics training
A1004,Data Analytics Corse,156.0,3361.0,$195.9,30.0,8.0,,$1091,2024-11-22,hyderabad,desktop,online data analytic
A1005,DataAnalyticsCourse,195.0,3776.0,$243.57,10.0,8.0,,$1315,16-11-2024,hyderabad,MOBILE,data anaytics training
A1006,Data Analytics Corse,116.0,4480.0,$237.79,17.0,5.0,0.043,$1640,06-11-2024,hyderabad,TABLET,data analytics course
A1007,Data Analytics Corse,184.0,5060.0,$229.61,23.0,3.0,0.016,$1509,2024/11/24,Hyderbad,TABLET,analytics for data
A1008,Data Analytics Corse,113.0,5434.0,,27.0,4.0,0.058,$1362,2024/11/24,Hyderbad,Tablet,data anaytics training
A1009,Data Analytcis Course,166.0,3355.0,$186.78,24.0,9.0,0.054,$1029,2024/11/12,Hyderbad,Mobile,online data analytic
A1010,DataAnalyticsCourse,101.0,5399.0,$236.79,20.0,6.0,0.059,$1900,14-11-2024,HYDERABAD,DESKTOP,learn data analytics
A1011,Data Analytics Corse,101.0,3613.0,$208.12,24.0,5.0,0.05,$1130,2024/11/22,hyderabad,Desktop,online data analytic
A1012,Data Analytcis Course,125.0,3259.0,$191.3,18.0,3.0,0.024,$1959,2024/11/27,hydrebad,DESKTOP,data analitics online
A1013,Data Analytics Corse,196.0,3742.0,$207.46,10.0,7.0,0.038,$1623,12-11-2024,hyderabad,mobile,data anaytics training
A1014,Data Analytcis Course,181.0,4311.0,$185.09,11.0,9.0,0.05,$1538,2024-11-04,Hyderbad,Desktop,data anaytics training
A1015,Data Analytcis Course,102.0,5461.0,$201.69,22.0,8.0,0.078,$1755,2024-11-29,hyderabad,desktop,data analytics course
A1016,Data Analytcis Course,193.0,5159.0,,15.0,9.0,0.047,$1614,2024-11-10,hydrebad,Mobile,learn data analytics
A1017,Data Anlytics Corse,149.0,4431.0,$207.4,19.0,9.0,0.06,$1693,12-11-2024,HYDERABAD,mobile,learn data analytics
A1018,Data Analytics Corse,150.0,3113.0,$217.41,20.0,5.0,,$1785,2024/11/07,hyderabad,Mobile,analytics for data
A1019,Data Analytcis Course,145.0,5278.0,,25.0,6.0,0.041,$1516,2024-11-05,hyderabad,DESKTOP,data analytics course
A1020,Data Analytcis Course,184.0,4143.0,$223.3,10.0,10.0,0.044,$1735,2024/11/21,Hyderbad,TABLET,learn data analytics
A1021,Data Analytics Corse,171.0,4154.0,$184.23,30.0,7.0,0.041,$1803,2024/11/08,hyderabad,tablet,data analitics online
A1022,Data Analytcis Course,122.0,5187.0,$211.24,27.0,6.0,0.049,$1322,2024-11-20,HYDERABAD,Desktop,online data analytic
A1023,Data Anlytics Corse,188.0,5798.0,$230.17,28.0,5.0,0.047,$1452,30-11-2024,HYDERABAD,TABLET,data analytics course
A1024,DataAnalyticsCourse,87.0,3718.0,,12.0,3.0,0.034,$1652,20-11-2024,Hyderbad,tablet,learn data analytics
A1025,DataAnalyticsCourse,88.0,3349.0,$181.92,22.0,8.0,0.091,$1456,2024-11-20,HYDERABAD,Tablet,learn data analytics
A1026,Data Anlytics Corse,119.0,5323.0,$205.92,17.0,10.0,0.06,$1656,2024-11-02,Hyderbad,desktop,online data analytic
A1027,Data Analytics Corse,,5286.0,$234.89,22.0,10.0,,$1688,2024-11-21,hyderabad,DESKTOP,data anaytics training
A1028,Data Anlytics Corse,128.0,5469.0,$188.49,16.0,3.0,,$1783,2024-11-23,Hyderbad,MOBILE,learn data analytics
A1029,Data Analytcis Course,86.0,3351.0,$237.75,21.0,9.0,0.105,$1975,2024/11/13,HYDERABAD,Mobile,analytics for data
A1030,Data Analytics Corse,188.0,4834.0,$213.58,15.0,4.0,0.021,$1590,2024-11-08,Hyderbad,TABLET,online data analytic
A1031,DataAnalyticsCourse,113.0,5065.0,$212.37,11.0,5.0,,$1111,22-11-2024,HYDERABAD,Desktop,online data analytic
A1032,Data Analytcis Course,,3872.0,$244.38,20.0,4.0,,$1041,12-11-2024,HYDERABAD,tablet,data analitics online
A1033,Data Analytics Corse,176.0,5509.0,$234.59,19.0,7.0,0.054,$1710,2024/11/03,Hyderbad,Tablet,data analytics course
A1034,Data Analytcis Course,121.0,5610.0,$214.96,23.0,8.0,,,2024-11-25,hyderabad,Mobile,data analytics course
A1035,DataAnalyticsCourse,104.0,5275.0,$236.48,16.0,9.0,0.031,$1824,01-11-2024,HYDERABAD,DESKTOP,data anaytics training
A1036,Data Anlytics Corse,146.0,5939.0,$242.9,11.0,8.0,0.035,$1833,2024-11-07,HYDERABAD,Desktop,data anaytics training
A1037,Data Analytcis Course,123.0,5131.0,,19.0,5.0,0.041,$1307,09-11-2024,hydrebad,MOBILE,learn data analytics
A1038,Data Analytcis Course,90.0,5786.0,$197.55,11.0,6.0,0.043,$1704,16-11-2024,hyderabad,MOBILE,online data analytic
A1039,Data Analytcis Course,171.0,4304.0,$192.61,17.0,10.0,0.058,$1427,2024-11-26,hydrebad,Mobile,learn data analytics
A1040,Data Analytics Corse,94.0,5549.0,$231.23,25.0,9.0,0.096,$1849,2024/11/12,Hyderbad,mobile,data anaytics training
A1041,Data Analytics Corse,112.0,4271.0,$196.07,27.0,6.0,,$1209,2024-11-14,hyderabad,desktop,data analitics online
A1042,Data Analytcis Course,113.0,4418.0,$191.55,27.0,10.0,,$1634,2024/11/09,Hyderbad,MOBILE,data analytics course
A1043,Data Anlytics Corse,145.0,3721.0,$180.95,21.0,7.0,0.048,$1960,29-11-2024,hydrebad,desktop,data analitics online
A1044,DataAnalyticsCourse,197.0,5783.0,$204.46,23.0,6.0,,$1729,01-11-2024,hydrebad,TABLET,data anaytics training
A1045,DataAnalyticsCourse,109.0,4866.0,$236.78,27.0,5.0,,$1585,15-11-2024,hyderabad,Mobile,online data analytic
A1046,Data Anlytics Corse,188.0,5857.0,$222.98,20.0,4.0,0.048,$1303,11-11-2024,HYDERABAD,desktop,data anaytics training
A1047,Data Analytics Corse,142.0,5103.0,$234.1,24.0,3.0,0.021,$1835,2024-11-08,Hyderbad,mobile,analytics for data
A1048,Data Analytcis Course,168.0,4653.0,$240.84,27.0,9.0,0.054,$1367,2024-11-24,hydrebad,Mobile,online data analytic
A1049,Data Analytcis Course,110.0,3524.0,$248.86,19.0,10.0,0.091,$1524,21-11-2024,Hyderbad,MOBILE,learn data analytics
A1050,Data Analytcis Course,192.0,5938.0,$182.84,26.0,5.0,0.039,$1080,2024/11/12,hydrebad,MOBILE,analytics for data
A1051,Data Analytics Corse,101.0,3942.0,$206.62,16.0,5.0,0.05,$1746,2024-11-24,HYDERABAD,Tablet,analytics for data
A1052,Data Analytics Corse,157.0,3315.0,$189.56,15.0,10.0,0.064,$1026,2024-11-25,HYDERABAD,MOBILE,online data analytic
A1053,Data Anlytics Corse,113.0,4945.0,$187.66,15.0,10.0,,$1564,2024/11/26,HYDERABAD,TABLET,learn data analytics
A1054,Data Analytcis Course,96.0,3166.0,$196.15,29.0,7.0,0.073,$1902,26-11-2024,hyderabad,Desktop,learn data analytics
A1055,Data Analytcis Course,125.0,4223.0,$183.68,15.0,6.0,,$1267,2024-11-05,HYDERABAD,DESKTOP,data analitics online
A1056,Data Analytcis Course,104.0,4798.0,$210.1,18.0,3.0,,$1340,21-11-2024,hyderabad,desktop,analytics for data
A1057,Data Anlytics Corse,194.0,5655.0,$208.58,13.0,6.0,0.031,$1692,2024-11-16,hydrebad,mobile,data anaytics training
A1058,DataAnalyticsCourse,144.0,5140.0,$219.48,19.0,8.0,0.047,$1054,18-11-2024,Hyderbad,desktop,data analitics online
A1059,Data Analytics Corse,179.0,3025.0,$238.81,17.0,3.0,0.017,,2024-11-11,HYDERABAD,mobile,data analitics online
A1060,Data Analytics Corse,166.0,5223.0,$189.76,18.0,7.0,0.042,$1219,16-11-2024,Hyderbad,Tablet,data analytics course
A1061,Data Analytcis Course,166.0,5089.0,,26.0,7.0,0.042,$1946,11-11-2024,Hyderbad,tablet,analytics for data
A1062,Data Anlytics Corse,118.0,5016.0,$204.31,19.0,9.0,0.045,$1833,2024/11/08,hyderabad,Desktop,analytics for data
A1063,DataAnalyticsCourse,185.0,3617.0,$222.32,24.0,7.0,0.038,$1963,23-11-2024,hyderabad,Mobile,data analytics course
A1064,Data Analytcis Course,116.0,3764.0,$232.03,28.0,10.0,0.086,$1348,2024/11/20,hyderabad,Tablet,data analytics course
A1065,Data Analytics Corse,99.0,4489.0,$183.73,15.0,6.0,0.061,$1264,2024-11-05,HYDERABAD,desktop,online data analytic
A1066,DataAnalyticsCourse,172.0,4441.0,$221.18,14.0,8.0,0.047,$1771,27-11-2024,hyderabad,mobile,analytics for data
A1067,Data Analytcis Course,138.0,5751.0,$199.11,26.0,9.0,0.052,$1337,2024-11-10,Hyderbad,desktop,data analitics online
A1068,Data Analytcis Course,84.0,4036.0,$234.22,23.0,10.0,0.119,$1287,04-11-2024,Hyderbad,Desktop,learn data analytics
A1069,DataAnalyticsCourse,124.0,4942.0,$240.59,18.0,3.0,0.024,$1922,2024-11-16,hydrebad,DESKTOP,learn data analytics
A1070,Data Analytcis Course,122.0,4989.0,$215.48,12.0,5.0,0.041,$1975,2024/11/06,hyderabad,MOBILE,data analitics online
A1071,Data Analytics Corse,180.0,3006.0,$228.14,22.0,7.0,0.039,$1556,2024-11-04,HYDERABAD,TABLET,learn data analytics
A1072,DataAnalyticsCourse,133.0,3728.0,$199.13,11.0,10.0,,,2024-11-09,HYDERABAD,Desktop,data analitics online
